gu Gujarati
zh-TW Chinese (Traditional)
ga Irish
gl Galician
la Latin
lo Lao
tr Turkish
lv Latvian
lt Lithuanian
th Thai
tg Tajik
te Telugu
ta Tamil
yi Yiddish
ceb Cebuano
yo Yoruba
de German
da Danish
el Greek
eo Esperanto
en English
zh Chinese
eu Basque
et Estonian
es Spanish
ru Russian
zh-CN Chinese (Simplified)
ro Romanian
be Belarusian
bg Bulgarian
ms Malay
bn Bengali
jw Javanese
bs Bosnian
ja Japanese
ca Catalan
cy Welsh
cs Czech
pt Portuguese
tl Filipino
pa Punjabi
vi Vietnamese
pl Polish
hy Armenian
hr Croatian
ht Haitian Creole
hu Hungarian
hmn Hmong
hi Hindi
ha Hausa
mg Malagasy
uz Uzbek
ml Malayalam
mn Mongolian
mi Maori
mk Macedonian
ur Urdu
mt Maltese
uk Ukrainian
mr Marathi
my Myanmar (Burmese)
af Afrikaans
sw Swahili
is Icelandic
it Italian
iw Hebrew
kn Kannada
ar Arabic
km Khmer
zu Zulu
az Azerbaijani
id Indonesian
ig Igbo
nl Dutch
no Norwegian
ne Nepali
ny Chichewa
fr French
fa Persian
fi Finnish
ka Georgian
kk Kazakh
sr Serbian
sq Albanian
ko Korean
sv Swedish
su Sundanese
st Sesotho
sk Slovak
si Sinhala
so Somali
sl Slovenian
